dateTime,value
2019-12-23,10726
2019-12-24,2266
2019-12-25,937
2019-12-26,2591
2019-12-27,6331
2019-12-28,6231
2019-12-29,11272
2019-12-30,4133
2019-12-31,11426
2020-01-01,12533
2020-01-02,6082
2020-01-03,10147
2020-01-04,4961
2020-01-05,7577
2020-01-06,5873
2020-01-07,9588
2020-01-08,7202
2020-01-09,8194
2020-01-10,9890
2020-01-11,10490
2020-01-12,4554
2020-01-13,9285
2020-01-14,8082
2020-01-15,5010
2020-01-16,8207
2020-01-17,5726
2020-01-18,12117
2020-01-19,11538
2020-01-20,8178
2020-01-21,7438
2020-01-22,5853
2020-01-23,9426
2020-01-24,10731
2020-01-25,10246
2020-01-26,7017
2020-01-27,3206
2020-01-28,8706
2020-01-29,5642
2020-01-30,8681
2020-01-31,4688
2020-02-01,1801
2020-02-02,2049
2020-02-03,7155
2020-02-04,10796
2020-02-05,4939
2020-02-06,5786
2020-02-07,8547
2020-02-08,4411
2020-02-09,7231
2020-02-10,6652
2020-02-11,7506
2020-02-12,3958
2020-02-13,7579
2020-02-14,8046
2020-02-15,5355
2020-02-16,3928
2020-02-17,8839
2020-02-18,8354
2020-02-19,4856
2020-02-20,6202
2020-02-21,10523
2020-02-22,5491
2020-02-23,11519
2020-02-24,5440
2020-02-25,11783
2020-02-26,6831
2020-02-27,7229
2020-02-28,7085
2020-02-29,8965
2020-03-01,6412
2020-03-02,1860
2020-03-03,8037
2020-03-04,10033
2020-03-05,3248
2020-03-06,7398
2020-03-07,11233
2020-03-08,10934
2020-03-09,6809
2020-03-10,9631
2020-03-11,4189
2020-03-12,4277
2020-03-13,7478
2020-03-14,1748
2020-03-15,3220
2020-03-16,2074
2020-03-17,2129
2020-03-18,2131
2020-03-19,3907
2020-03-20,1545
2020-03-21,2688
2020-03-22,765
2020-03-23,3223
2020-03-24,4089
2020-03-25,6734
2020-03-26,7504
2020-03-27,9989
2020-03-28,1534
2020-03-29,7389
2020-03-30,751
2020-03-31,2964
2020-04-01,9342
2020-04-02,4541
2020-04-03,2729
2020-04-04,1137
2020-04-05,2477
2020-04-06,2015
2020-04-07,1251
2020-04-08,2832
2020-04-09,1786
2020-04-10,1155
2020-04-11,1270
2020-04-12,1101
2020-04-13,895
2020-04-14,1138
2020-04-15,1151
2020-04-16,10756
2020-04-17,1237
2020-04-18,803
2020-04-19,1173
2020-04-20,1636
2020-04-21,938
2020-04-22,998
2020-04-23,1805
2020-04-24,1373
2020-04-25,9679
2020-04-26,1200
2020-04-27,1913
2020-04-28,1848
2020-04-29,1144
2020-04-30,2058
2020-05-01,1532
2020-05-02,2208
2020-05-03,10350
2020-05-04,1506
2020-05-05,2066
2020-05-06,1039
2020-05-07,1994
2020-05-08,1201
2020-05-09,1063
2020-05-10,858
2020-05-11,1395
2020-05-12,1468
2020-05-13,1427
2020-05-14,1059
2020-05-15,1089
2020-05-16,878
2020-05-17,985
2020-05-18,1136
2020-05-19,1401
2020-05-20,3649
2020-05-21,7604
2020-05-22,5723
2020-05-23,2061
2020-05-24,5017
2020-05-25,7461
2020-05-26,5994
2020-05-27,4843
2020-05-28,3685
2020-05-29,1344
2020-05-30,2370
2020-05-31,1746
2020-06-01,6061
2020-06-02,5083
2020-06-03,2269
2020-06-04,3157
2020-06-05,1729
2020-06-06,1944
2020-06-07,2148
2020-06-08,7400
2020-06-09,1607
2020-06-10,2438
2020-06-11,1634
2020-06-12,3381
2020-06-13,4995
2020-06-14,1315
2020-06-15,8323
2020-06-16,1100
2020-06-17,6650
2020-06-18,11649
2020-06-19,1813
2020-06-20,2337
2020-06-21,10526
2020-06-22,14635
2020-06-23,1297
2020-06-24,3132
2020-06-25,11439
2020-06-26,1869
2020-06-27,4525
2020-06-28,5550
2020-06-29,1533
2020-06-30,7243
2020-07-01,4769
2020-07-02,3237
2020-07-03,1237
2020-07-04,6243
2020-07-05,11878
2020-07-06,7406
2020-07-07,7604
2020-07-08,8106
2020-07-09,4901
2020-07-10,8472
2020-07-11,5277
2020-07-12,1618
2020-07-13,8633
2020-07-14,5896
2020-07-15,8171
2020-07-16,4635
2020-07-17,12134
2020-07-18,11845
2020-07-19,1879
2020-07-20,12714
2020-07-21,7731
2020-07-22,8095
2020-07-23,4712
2020-07-24,2273
2020-07-25,10023
2020-07-26,14193
2020-07-27,7152
2020-07-28,3701
2020-07-29,9631
2020-07-30,6419
2020-07-31,14593
2020-08-01,8132
2020-08-02,6142
2020-08-03,14520
2020-08-04,12773
2020-08-05,9665
2020-08-06,9151
2020-08-07,11056
2020-08-08,10575
2020-08-09,7715
2020-08-10,5968
2020-08-11,9246
2020-08-12,18905
2020-08-13,14625
2020-08-14,15795
2020-08-15,16802
2020-08-16,12761
2020-08-17,8803
2020-08-18,17232
2020-08-19,16502
2020-08-20,17534
2020-08-21,21334
2020-08-22,21928
2020-08-23,8624
2020-08-24,12381
2020-08-25,4228
2020-08-26,19998
2020-08-27,12019
2020-08-28,10742
2020-08-29,11893
2020-08-30,13900
2020-08-31,8452
2020-09-01,16091
2020-09-02,15955
2020-09-03,8386
2020-09-04,25576
2020-09-05,18810
2020-09-06,8294
2020-09-07,8084
2020-09-08,13091
2020-09-09,3694
2020-09-10,5949
2020-09-11,7082
2020-09-12,14391
2020-09-13,8613
2020-09-14,14441
2020-09-15,14385
2020-09-16,11397
2020-09-17,8951
2020-09-18,17302
2020-09-19,14660
2020-09-20,1702
2020-09-21,9481
2020-09-22,10949
2020-09-23,15137
2020-09-24,18672
2020-09-25,11976
2020-09-26,12497
2020-09-27,2913
2020-09-28,13033
2020-09-29,5493
2020-09-30,8401
2020-10-01,13931
2020-10-02,19437
2020-10-03,19015
2020-10-04,920
2020-10-05,21532
2020-10-06,7976
2020-10-07,12482
2020-10-08,11533
2020-10-09,13602
2020-10-10,10729
2020-10-11,9869
2020-10-12,16838
2020-10-13,4602
2020-10-14,8014
2020-10-15,1241
2020-10-16,7540
2020-10-17,7836
2020-10-18,8436
2020-10-19,2570
2020-10-20,2055
2020-10-21,5563
2020-10-22,8173
2020-10-23,1651
2020-10-24,2879
2020-10-25,6834
2020-10-26,3415
2020-10-27,4643
2020-10-28,5886
2020-10-29,8575
2020-10-30,9474
2020-10-31,1711
2020-11-01,3442
2020-11-02,2647
2020-11-03,1056
2020-11-04,6584
2020-11-05,7171
2020-11-06,11225
2020-11-07,7110
2020-11-08,3947
2020-11-09,3662
2020-11-10,5169
2020-11-11,9906
2020-11-12,4755
2020-11-13,1772
2020-11-14,7354
2020-11-15,1876
